ImageNumber,ObjectNumber,Children_NonOverlappingWorms_Adult_Count,Children_NonOverlappingWorms_L1_Count,Children_NonOverlappingWorms_L2L3_Count,Children_NonOverlappingWorms_L4_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
2,1,0,0,0,0,966.3923076923077,239.3846153846154,0,1
2,2,0,0,0,0,633.9479166666666,325.9583333333333,0,2
2,3,0,0,0,0,1417.1046511627908,329.7093023255814,0,3
2,4,0,0,0,0,1277.5348837209303,364.6744186046512,0,4
2,5,0,1,0,0,805.9283387622149,422.1335504885993,0,5
2,6,0,0,0,0,885.0213903743315,401.98395721925135,0,6
2,7,0,1,0,0,1310.3521126760563,444.17605633802816,0,7
2,8,0,1,0,0,843.2416918429003,446.9546827794562,0,8
2,9,0,0,0,0,885.8135593220339,432.4491525423729,0,9
2,10,0,0,0,0,1125.0392670157069,472.6256544502618,0,10
2,11,0,0,0,0,810.8395721925134,480.903743315508,0,11
2,12,0,0,0,0,961.4381818181819,511.74545454545455,0,12
2,13,0,0,0,0,460.3863636363636,511.4886363636364,0,13
2,14,0,1,0,0,1309.5175879396984,555.3693467336683,0,14
2,15,0,0,0,0,824.183486238532,525.5963302752293,0,15
2,16,0,0,0,0,597.2774390243902,582.3780487804878,0,16
2,17,0,0,0,0,944.9356725146199,560.7719298245614,0,17
2,18,0,0,0,0,1257.5922330097087,664.7281553398059,0,18
2,19,0,1,0,0,1077.891489361702,721.4723404255319,0,19
2,20,0,0,0,0,1165.5377358490566,749.3867924528302,0,20
2,21,0,1,0,0,890.3507306889353,752.9373695198329,0,21
2,22,0,0,0,0,1010.1631205673759,763.7659574468086,0,22
2,23,0,1,0,0,1171.221396731055,808.6820208023775,0,23
2,24,0,1,0,0,928.9318181818181,848.9814049586777,0,24
2,25,0,1,0,0,559.4166666666666,857.1554054054054,0,25
2,26,0,0,0,0,435.76008492569,845.8811040339702,0,26
2,27,0,1,0,0,710.989837398374,866.0914634146342,0,27
2,28,0,0,0,0,1144.2242990654206,871.1214953271028,0,28
2,29,0,0,0,0,1543.0333333333333,878.8384615384615,0,29
2,30,0,1,0,0,660.1378676470588,925.5808823529412,0,30
2,31,0,0,0,0,1835.5975609756097,918.609756097561,0,31
2,32,0,0,0,0,1066.4741379310344,1061.9913793103449,0,32
2,33,0,0,0,0,1171.4814814814815,1065.6666666666667,0,33
2,34,0,1,0,0,549.1617021276596,1089.1489361702127,0,34
2,35,0,0,0,0,1113.9929078014184,1093.5886524822695,0,35
2,36,0,0,0,0,225.06508875739644,1116.8934911242604,0,36
2,37,0,0,0,0,744.953216374269,1120.7251461988303,0,37
2,38,0,0,0,0,1088.8620689655172,1141.5402298850574,0,38
2,39,0,0,0,0,376.912,1164.912,0,39
2,40,0,0,0,0,635.5185185185185,1161.3456790123457,0,40
2,41,0,0,0,0,1446.6258503401361,1164.0136054421769,0,41
2,42,0,0,0,0,1629.2790697674418,1159.2441860465117,0,42
2,43,0,0,0,0,406.4296875,1193.9609375,0,43
2,44,0,0,0,0,1249.1606425702812,1200.1847389558234,0,44
2,45,0,1,0,0,1201.1353251318103,1214.4112478031634,0,45
2,46,0,0,0,0,427.8759689922481,1231.8992248062016,0,46
2,47,0,0,0,0,1708.715909090909,1253.1439393939395,0,47
2,48,0,0,0,0,605.8026315789474,1262.9561403508771,0,48
2,49,0,0,0,0,721.472,1272.0,0,49
2,50,0,0,0,0,328.67837078651684,1303.2612359550562,0,50
2,51,0,0,0,0,824.3061224489796,1413.0725623582766,0,51
2,52,0,0,0,0,725.203488372093,1412.7558139534883,0,52
2,53,0,0,0,0,1081.448275862069,1431.2931034482758,0,53
2,54,0,1,0,0,1074.0020576131687,1463.6625514403293,0,54
2,55,0,1,0,0,1456.3867403314916,1562.8867403314916,0,55
2,56,0,0,0,0,1777.4710743801652,1538.8429752066115,0,56
2,57,0,0,0,0,568.073359073359,1638.4710424710424,0,57
2,58,0,0,0,0,769.7555555555556,1650.2777777777778,0,58
2,59,0,0,0,0,1052.0674157303372,1670.573033707865,0,59
2,60,0,1,0,0,979.8648648648649,1723.6891891891892,0,60
2,61,0,1,0,0,747.8753709198813,1741.0890207715133,0,61
2,62,0,0,0,0,1470.2277227722773,1725.6534653465346,0,62
2,63,0,0,0,0,508.7956989247312,1737.3387096774193,0,63
2,64,0,0,0,0,1122.9817073170732,1754.2347560975609,0,64
2,65,0,0,0,0,792.6780487804878,1744.219512195122,0,65
2,66,0,0,0,0,1116.4591836734694,1774.3673469387754,0,66
2,67,0,0,0,0,687.6582278481013,1808.240506329114,0,67
2,68,0,0,0,0,834.2460317460317,1847.7698412698412,0,68
