ImageNumber,ObjectNumber,Children_NonOverlappingWorms_Adult_Count,Children_NonOverlappingWorms_L1_Count,Children_NonOverlappingWorms_L2L3_Count,Children_NonOverlappingWorms_L4_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
15,1,0,1,0,0,762.1462765957447,188.23736702127658,0,1
15,2,0,0,0,0,1171.3372093023256,217.3953488372093,0,2
15,3,0,2,1,1,688.8801762114538,278.2819383259912,0,3
15,4,0,2,2,1,1040.5048221820373,345.0015069318867,0,4
15,5,0,0,0,0,1478.5013698630137,269.44657534246574,0,5
15,6,0,0,0,0,810.6395348837209,276.2906976744186,0,6
15,7,0,0,0,0,1553.6759465478842,325.8886414253898,0,7
15,8,0,2,1,0,1484.293542757417,460.89214659685865,0,8
15,9,0,1,1,1,817.7930918846412,506.02179745137494,0,9
15,10,0,2,1,1,1235.1572418825247,417.2145202480846,0,10
15,11,0,1,1,0,523.5137221269297,434.52915951972557,0,11
15,12,0,2,1,1,462.75573352748455,480.58136148525665,0,12
15,13,0,0,0,0,1387.922857142857,464.9428571428571,0,13
15,14,0,1,1,0,1647.1881720430108,568.1840363937138,0,14
15,15,0,2,1,1,337.44378427787933,521.6087751371115,0,15
15,16,0,0,0,0,774.4421052631579,499.9157894736842,0,16
15,17,0,0,0,0,1148.659090909091,519.3977272727273,0,17
15,18,0,0,0,0,1787.6537102473499,554.3180212014134,0,18
15,19,0,2,1,1,1497.8870255957634,664.4663136216534,0,19
15,20,0,0,0,0,1813.8494749124854,650.3360560093349,0,20
15,21,1,2,1,1,1218.1936122102884,699.9666478236292,0,21
15,22,0,0,0,0,863.0607142857143,647.7107142857143,0,22
15,23,0,2,1,1,1671.654065620542,727.049572039943,0,23
15,24,0,0,0,0,1141.6224489795918,727.3520408163265,0,24
15,25,0,0,1,1,1729.9182776801406,847.6493848857644,0,25
15,26,0,3,1,1,1585.12995658466,914.8830680173661,0,26
15,27,0,2,1,1,1834.0913123844732,934.2687615526802,0,27
15,28,1,3,3,2,1069.4313646170442,931.0639158576051,0,28
15,29,0,0,0,0,621.8029197080292,874.1240875912408,0,29
15,30,1,3,1,1,829.2320351069666,894.4755896873286,0,30
15,31,0,0,0,0,1184.578947368421,913.8502024291498,0,31
15,32,0,2,1,1,299.2601851851852,934.4515432098765,0,32
15,33,0,0,0,0,593.6666666666666,932.741935483871,0,33
15,34,0,0,0,0,1353.9481481481482,979.6074074074074,0,34
15,35,0,0,0,0,976.6892655367232,992.5762711864406,0,35
15,36,0,0,0,0,556.4145299145299,1029.0384615384614,0,36
15,37,0,0,0,0,1470.086705202312,1029.4104046242774,0,37
15,38,1,3,2,1,633.6081452944414,1142.8882773802973,0,38
15,39,0,3,1,1,1517.3648648648648,1088.9588719153937,0,39
15,40,1,1,1,1,971.5087530298949,1162.1352006463776,0,40
15,41,0,0,0,0,855.9807692307693,1097.2884615384614,0,41
15,42,0,3,2,1,334.80509065550905,1221.0456764295677,0,42
15,43,0,0,0,0,783.2468513853904,1131.9068010075566,0,43
15,44,0,0,0,0,132.75211267605633,1157.4845070422534,0,44
15,45,0,2,1,0,202.76944837340878,1251.4813767090995,0,45
15,46,0,1,0,0,156.09181636726547,1257.374251497006,0,46
15,47,0,0,0,0,655.0469314079422,1207.9747292418772,0,47
15,48,0,0,0,0,729.0,1207.142857142857,0,48
15,49,0,0,0,0,1431.489247311828,1235.3279569892472,0,49
15,50,0,0,0,0,965.75,1266.875,0,50
15,51,0,0,0,0,505.2440476190476,1283.720238095238,0,51
15,52,0,2,2,1,1086.4689709347997,1428.8960460853627,0,52
15,53,0,2,1,1,509.9664,1447.00768,0,53
15,54,1,1,1,1,1223.0617816091954,1460.4097701149426,0,54
15,55,0,0,0,0,811.765726681128,1352.587852494577,0,55
15,56,0,2,1,1,354.0559511698881,1435.6408952187182,0,56
15,57,0,3,2,1,701.7799312285089,1457.1034698343233,0,57
15,58,0,0,0,0,797.0987654320987,1375.0,0,58
15,59,0,3,2,1,1476.0938775510203,1392.6723032069972,0,59
15,60,0,0,0,0,1148.520253164557,1417.7012658227848,0,60
15,61,0,2,1,1,361.5483516483516,1480.7058608058608,0,61
15,62,0,0,0,0,839.741935483871,1431.3655913978494,0,62
15,63,0,0,0,0,1272.3796791443851,1478.764705882353,0,63
15,64,0,0,0,0,1494.2689075630253,1497.689075630252,0,64
15,65,0,4,1,1,1419.0064535955746,1630.0805162876459,0,65
15,66,0,0,0,0,1750.034090909091,1534.965909090909,0,66
15,67,0,0,0,0,1271.6117647058823,1563.6,0,67
15,68,0,0,1,1,795.0852017937219,1673.605082212257,0,68
15,69,0,0,0,0,993.6172839506173,1578.5432098765432,0,69
15,70,0,2,1,1,882.073304825901,1694.252596212584,0,70
15,71,0,2,1,1,501.775,1628.5175,0,71
15,72,0,0,0,0,1115.6666666666667,1618.1354166666667,0,72
15,73,0,2,1,1,1078.5014975041597,1753.5154742096506,0,73
15,74,0,2,1,1,1297.4318181818182,1700.0230998509687,0,74
15,75,0,2,1,1,516.7742218325296,1672.7246821569488,0,75
15,76,0,3,1,1,796.3447659878528,1789.959628438728,0,76
15,77,0,1,0,0,1629.7671755725191,1700.2347328244275,0,77
15,78,0,2,1,0,1189.0777217442894,1809.2643132601602,0,78
15,79,0,2,1,0,663.6955958549223,1735.676165803109,0,79
