ImageNumber,ObjectNumber,Children_NonOverlappingWorms_Adult_Count,Children_NonOverlappingWorms_L1_Count,Children_NonOverlappingWorms_L2L3_Count,Children_NonOverlappingWorms_L4_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
17,1,0,4,2,1,1080.5087022900764,148.79358778625954,0,1
17,2,0,2,1,0,840.4916540212444,137.12556904400606,0,2
17,3,0,2,1,1,1335.5069020866774,269.5059390048154,0,3
17,4,1,2,0,1,728.421052631579,332.80414531904984,0,4
17,5,0,0,0,0,786.5873786407767,201.6601941747573,0,5
17,6,1,1,1,1,1095.4955770004021,392.82227583433854,0,6
17,7,0,0,0,0,818.0833333333334,253.37878787878788,0,7
17,8,1,1,1,1,969.9705671213209,398.1806652309165,0,8
17,9,0,1,1,0,1360.9332061068703,312.3812977099237,0,9
17,10,0,3,0,0,1579.1719474497681,399.3647604327666,0,10
17,11,0,0,0,0,1141.0852272727273,363.6988636363636,0,11
17,12,1,3,3,1,393.9903381642512,532.4846173404526,0,12
17,13,0,0,0,0,1706.836705202312,426.72109826589593,0,13
17,14,1,0,1,1,1355.9543973941368,531.6093376764386,0,14
17,15,0,0,0,0,1007.934065934066,408.0989010989011,0,15
17,16,0,3,2,1,1584.5916615573267,576.3939301042305,0,16
17,17,0,2,1,1,295.15075653370013,586.9936726272352,0,17
17,18,1,2,2,1,1071.8619724375537,642.0206718346253,0,18
17,19,0,0,0,0,1792.5474509803921,617.5011764705882,0,19
17,20,0,2,0,0,180.62705082032812,661.1824729891957,0,20
17,21,0,2,1,0,1761.2843101565345,697.3039679650528,0,21
17,22,0,0,0,0,654.3736263736264,628.8351648351648,0,22
17,23,1,2,0,1,549.517292912041,710.4852690008539,0,23
17,24,1,2,4,1,843.8022289384209,798.5538345296562,0,24
17,25,1,1,2,1,237.21488417939872,849.538442582553,0,25
17,26,1,1,2,1,1349.5382403680276,837.5098715737014,0,26
17,27,1,1,2,1,602.6090019569472,841.3489236790607,0,27
17,28,0,0,0,0,537.4176072234764,814.2302483069977,0,28
17,29,1,4,3,1,1547.2584292348072,1024.259236826166,0,29
17,30,0,3,2,1,444.66745045347665,982.9815250251932,0,30
17,31,0,0,0,0,807.8389830508474,969.271186440678,0,31
17,32,0,0,0,0,1254.66,999.332,0,32
17,33,0,0,0,0,401.3139534883721,1004.5930232558139,0,33
17,34,2,5,2,2,368.5098437698463,1216.8511367966469,0,34
17,35,0,0,0,0,1489.2826086956522,1020.4891304347826,0,35
17,36,0,0,0,0,823.7788461538462,1026.125,0,36
17,37,1,3,1,1,1474.2070042382334,1083.3281284853892,0,37
17,38,0,0,0,0,1390.2742382271467,1037.05540166205,0,38
17,39,1,1,1,1,1185.1423810405481,1160.1605258285504,0,39
17,40,1,1,2,1,1820.5153592282304,1188.3879157146484,0,40
17,41,0,0,0,0,1305.826923076923,1060.2371794871794,0,41
17,42,0,0,0,0,1374.6714579055442,1076.1889117043122,0,42
17,43,0,2,2,0,1412.590984578885,1133.596678529063,0,43
17,44,0,0,0,0,765.4239130434783,1083.7608695652175,0,44
17,45,0,1,1,1,1498.199789695058,1140.961794602173,0,45
17,46,0,0,0,0,619.2115384615385,1105.4615384615386,0,46
17,47,1,3,2,1,1781.4557697385794,1246.2872986532875,0,47
17,48,0,2,1,1,231.04490554351193,1307.8786001858161,0,48
17,49,0,0,0,0,728.8549848942598,1199.498489425982,0,49
17,50,1,1,1,1,1374.5808587908566,1322.6964323862423,0,50
17,51,2,4,3,2,732.6424094707521,1532.4990714948933,0,51
17,52,0,0,0,0,627.0650406504066,1335.0325203252032,0,52
17,53,0,0,0,0,1113.1157024793388,1352.206611570248,0,53
17,54,1,1,2,1,1156.526117292099,1388.1161606637752,0,54
17,55,1,2,2,1,1610.4177739054671,1507.5769984752776,0,55
17,56,1,2,2,1,1341.7189789123197,1486.9083240843506,0,56
17,57,1,3,2,1,1094.5141948115515,1564.030592266275,0,57
17,58,0,4,3,1,432.080378250591,1582.6611997635935,0,58
17,59,3,4,5,3,1186.5878313637816,1780.7968700095817,0,59
17,60,0,2,1,0,514.6136436085432,1645.2926362766975,0,60
17,61,0,3,1,0,615.1572554169403,1740.714707813526,0,61
17,62,1,2,0,1,1000.2854209445585,1808.8878336755647,0,62
17,63,0,0,0,0,783.1855203619909,1944.6153846153845,0,63
