ImageNumber,ObjectNumber,Children_NonOverlappingWorms_Adult_Count,Children_NonOverlappingWorms_L1_Count,Children_NonOverlappingWorms_L2L3_Count,Children_NonOverlappingWorms_L4_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
7,1,0,1,0,0,1062.3921282798833,144.91836734693877,0,1
7,2,0,0,0,0,1326.5376344086021,172.79569892473117,0,2
7,3,0,0,0,0,535.6756756756756,247.41216216216216,0,3
7,4,0,0,0,0,1489.040404040404,387.4343434343434,0,4
7,5,0,1,0,0,1839.949002217295,645.9179600886918,0,5
7,6,0,2,2,1,1169.5158965663418,671.2373887240356,0,6
7,7,0,1,1,0,248.18048268625392,671.7145855194124,0,7
7,8,0,1,1,0,1550.5615640599,736.9043261231282,0,8
7,9,0,1,1,0,292.9725759059745,739.6983349657199,0,9
7,10,0,0,0,0,1217.1686746987953,721.2409638554217,0,10
7,11,0,0,0,0,1217.4622641509434,744.6132075471698,0,11
7,12,0,0,0,0,559.2613636363636,776.7272727272727,0,12
7,13,0,0,0,0,1223.4070796460178,778.6460176991151,0,13
7,14,0,0,0,0,1154.6293706293707,823.6783216783217,0,14
7,15,0,0,0,0,1704.9714285714285,861.1904761904761,0,15
7,16,0,0,0,0,602.7659574468086,876.436170212766,0,16
7,17,0,1,1,0,1058.3451127819549,902.0496240601503,0,17
7,18,0,1,1,0,1882.5007342143906,933.4875183553597,0,18
7,19,0,1,1,0,1829.4044444444444,964.0655555555555,0,19
7,20,0,0,0,0,727.9146341463414,957.5487804878048,0,20
7,21,0,1,1,0,1700.2825070159026,1027.1496725912068,0,21
7,22,0,1,1,0,281.8270214943705,1037.5598771750256,0,22
7,23,0,1,1,0,1229.0393982808023,978.0816618911175,0,23
7,24,0,0,0,0,1437.7955555555557,980.0888888888888,0,24
7,25,0,1,1,0,1400.9945226917057,1047.0618153364633,0,25
7,26,0,0,0,0,906.2,1038.463157894737,0,26
7,27,0,1,1,0,691.5456603773584,1070.697358490566,0,27
7,28,0,0,0,0,377.8041237113402,1105.0927835051546,0,28
7,29,0,0,0,0,1401.426966292135,1128.6629213483145,0,29
7,30,0,1,1,0,1391.4431924882629,1218.6413145539907,0,30
7,31,0,1,1,0,1280.3573446327684,1246.268361581921,0,31
7,32,0,0,0,0,1462.1179624664878,1266.1099195710456,0,32
7,33,0,0,0,0,614.1847826086956,1271.8804347826087,0,33
7,34,0,1,1,0,796.5647249190938,1304.4239482200646,0,34
7,35,0,0,0,0,1338.5875,1277.5625,0,35
7,36,0,1,1,0,1014.8086560364465,1333.232346241458,0,36
7,37,0,0,0,0,821.2660550458716,1319.908256880734,0,37
7,38,0,0,0,0,372.7096774193548,1331.1436950146629,0,38
7,39,0,1,0,0,240.6980132450331,1396.0119205298013,0,39
7,40,0,0,0,0,906.3083003952569,1360.1225296442688,0,40
7,41,0,1,0,0,1784.8634294385433,1485.5887708649468,0,41
7,42,0,0,0,0,1050.8455284552845,1477.6747967479675,0,42
7,43,0,0,0,0,860.7837837837837,1510.4954954954956,0,43
7,44,0,1,1,0,930.059367771781,1584.6414803392445,0,44
7,45,0,1,1,0,635.9018595041322,1612.0557851239669,0,45
7,46,0,1,1,0,887.098650051921,1656.0332294911734,0,46
7,47,0,1,1,0,1186.6953846153847,1710.8461538461538,0,47
7,48,0,0,0,0,1102.5607142857143,1697.3214285714287,0,48
7,49,0,1,1,0,587.3773148148148,1782.6041666666667,0,49
7,50,0,0,0,0,849.7552447552448,1802.493006993007,0,50
7,51,0,1,1,0,1246.2703101920235,1910.9542097488923,0,51
