ImageNumber,ObjectNumber,Children_NonOverlappingWorms_Adult_Count,Children_NonOverlappingWorms_L1_Count,Children_NonOverlappingWorms_L2L3_Count,Children_NonOverlappingWorms_L4_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
19,1,1,3,2,1,880.4206100899492,248.43390692217443,0,1
19,2,1,3,2,1,654.4039488966318,255.29709639953543,0,2
19,3,1,0,4,1,922.4604948124501,301.93974461292896,0,3
19,4,1,1,2,1,1128.1816578483244,208.37174211248285,0,4
19,5,1,2,2,1,1398.4624539529611,213.45168603003683,0,5
19,6,0,0,0,0,748.3846153846154,227.68269230769232,0,6
19,7,1,0,2,1,825.1961785537802,395.6643057156976,0,7
19,8,1,3,1,1,1424.139834881321,319.6065531475748,0,8
19,9,1,2,3,1,1277.028060187068,353.9656364375762,0,9
19,10,0,2,2,1,1687.9399103139012,421.89985052316894,0,10
19,11,1,3,2,1,369.14811697875024,484.442667788765,0,11
19,12,1,2,2,1,1394.2305811547865,465.24148956178294,0,12
19,13,1,2,0,1,1020.730416221985,583.2002134471718,0,13
19,14,1,3,3,1,1568.282131661442,544.9297805642633,0,14
19,15,1,1,0,1,1086.196084882382,609.3054778746505,0,15
19,16,1,4,4,1,1715.8011387600168,630.8135807676086,0,16
19,17,1,3,2,1,1378.5844133697135,817.2257844474761,0,17
19,18,0,0,0,0,1318.9883720930231,691.2267441860465,0,18
19,19,1,3,2,1,1689.569931901519,728.5437401781037,0,19
19,20,0,0,0,0,1120.5760869565217,709.5652173913044,0,20
19,21,1,1,2,1,175.9305391578119,891.8343171979535,0,21
19,22,1,3,0,1,669.3703271028037,762.2379839786382,0,22
19,23,1,1,2,1,1082.4704114221304,797.8258500845388,0,23
19,24,1,1,2,1,1641.4936465152098,894.4805544859453,0,24
19,25,0,0,2,1,463.1971367451045,905.9124568043443,0,25
19,26,1,1,2,1,727.1598860218459,981.452588253918,0,26
19,27,1,3,2,1,916.6858859834335,1072.609225272048,0,27
19,28,0,0,0,0,1355.4506172839506,965.4135802469136,0,28
19,29,1,1,2,1,1210.8309531717036,1133.6004649618067,0,29
19,30,1,2,2,1,1730.9002036659879,1023.5376782077393,0,30
19,31,1,3,2,1,356.67884512564603,1176.5136339333453,0,31
19,32,1,2,2,1,1706.9169291338583,1199.4029527559055,0,32
19,33,1,3,2,0,697.4890354492993,1149.7629018961254,0,33
19,34,1,2,2,1,296.82072299285414,1366.3709541824296,0,34
19,35,1,1,2,1,544.07514251166,1335.5380894800483,0,35
19,36,2,2,3,2,968.8325556827185,1387.7132670129413,0,36
19,37,1,1,1,1,813.2106004578271,1432.5902447614017,0,37
19,38,1,3,3,1,1229.7580295566502,1487.8977339901478,0,38
19,39,0,3,1,0,1700.4174563591023,1539.9596009975062,0,39
19,40,0,4,3,1,1550.4112337011034,1484.4641925777332,0,40
19,41,0,1,3,1,1346.4441428273126,1500.3474629358948,0,41
19,42,0,0,0,0,1587.4473684210527,1506.9912280701753,0,42
19,43,1,2,2,1,1123.5644391408114,1625.3107739515854,0,43
19,44,1,1,2,2,768.1470535231573,1697.5047756352496,0,44
19,45,0,0,0,0,987.7973856209151,1613.0653594771243,0,45
19,46,1,4,2,1,1480.067711598746,1658.9084639498433,0,46
19,47,1,2,2,1,1387.2962582236842,1714.8686266447369,0,47
19,48,0,2,1,0,774.0918717801947,1875.6797366914711,0,48
19,49,0,3,2,0,965.4187861271677,1869.9447976878612,0,49
