ImageNumber,ObjectNumber,Children_NonOverlappingWorms_Adult_Count,Children_NonOverlappingWorms_L1_Count,Children_NonOverlappingWorms_L2L3_Count,Children_NonOverlappingWorms_L4_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
16,1,0,0,0,0,1043.5536480686694,277.9613733905579,0,1
16,2,0,0,0,0,1055.75,354.70454545454544,0,2
16,3,0,2,1,0,1693.6654704944178,471.1702551834131,0,3
16,4,1,2,2,1,794.8625776397515,538.5835921325051,0,4
16,5,1,4,2,1,1084.3477192024038,480.15296367112813,0,5
16,6,0,0,0,0,887.713768115942,485.0144927536232,0,6
16,7,0,0,0,0,675.7768595041322,488.4710743801653,0,7
16,8,1,5,3,2,394.5475113122172,706.4800622171946,0,8
16,9,0,0,0,0,1775.278350515464,566.1494845360825,0,9
16,10,0,2,2,1,1664.3678316932474,634.6396335256193,0,10
16,11,0,2,3,1,1264.4205823003747,669.3044104929374,0,11
16,12,1,0,2,1,918.977261847774,710.8334131163236,0,12
16,13,1,2,2,1,706.2471319311663,729.1422084130019,0,13
16,14,0,0,0,0,532.6529850746268,669.8694029850747,0,14
16,15,0,0,0,0,770.5404255319149,691.4085106382979,0,15
16,16,0,0,0,0,552.5815217391304,697.554347826087,0,16
16,17,0,0,0,0,1082.8682170542636,710.4573643410853,0,17
16,18,0,0,0,0,1886.7368421052631,763.3157894736842,0,18
16,19,0,0,0,0,1756.758064516129,772.9677419354839,0,19
16,20,0,0,0,0,1429.2682926829268,774.0731707317074,0,20
16,21,1,3,2,1,1374.1767156862745,798.9151960784313,0,21
16,22,0,0,0,0,635.0441176470588,800.2720588235294,0,22
16,23,0,0,0,0,1131.628787878788,810.7121212121212,0,23
16,24,1,4,2,1,1571.0031491554537,928.0303464071,0,24
16,25,0,0,0,0,1170.816091954023,849.551724137931,0,25
16,26,0,0,0,0,1338.2281144781145,893.6675084175084,0,26
16,27,1,1,2,1,619.5412922550278,921.7233632862644,0,27
16,28,0,2,1,1,329.76961950059456,913.4155766944115,0,28
16,29,1,2,2,1,1080.0894784172663,948.7398830935252,0,29
16,30,0,0,0,0,1185.8688524590164,925.3688524590164,0,30
16,31,0,0,0,0,1702.3259668508288,938.2375690607735,0,31
16,32,2,4,4,2,478.62869745718734,1063.123637778931,0,32
16,33,0,2,1,1,1835.137043478261,1020.2100869565218,0,33
16,34,0,0,0,0,1549.1144278606964,962.3830845771145,0,34
16,35,0,2,1,0,230.37288605489326,1055.5284169670085,0,35
16,36,0,0,0,0,1037.516129032258,1034.215053763441,0,36
16,37,0,0,0,0,1625.371794871795,1052.878205128205,0,37
16,38,0,4,1,1,540.8190709046455,1178.0262836185818,0,38
16,39,0,0,0,0,1483.9126984126983,1080.6190476190477,0,39
16,40,1,5,3,1,1476.0202772073922,1214.7066221765913,0,40
16,41,1,2,2,1,684.8085330524098,1238.165920463524,0,41
16,42,0,2,1,1,1834.8270142180095,1257.9925524712255,0,42
16,43,1,4,2,1,878.5771580345286,1237.4945551128817,0,43
16,44,0,0,0,0,404.14736842105265,1248.8,0,44
16,45,0,3,2,1,393.6067118045334,1401.054754194878,0,45
16,46,1,0,1,1,1681.872755659641,1282.2620348685923,0,46
16,47,1,2,2,1,784.7252336448598,1375.1502336448598,0,47
16,48,0,0,0,0,1449.7882352941176,1294.5411764705882,0,48
16,49,0,2,1,1,678.56380783967,1411.9637488947833,0,49
16,50,0,2,1,1,265.747256515775,1394.1039094650205,0,50
16,51,0,0,0,0,1405.6363636363637,1334.8522727272727,0,51
16,52,0,0,0,0,1225.3567567567568,1358.3189189189188,0,52
16,53,0,3,1,1,1744.070012652889,1513.704765921552,0,53
16,54,0,2,2,0,486.11081967213113,1510.996393442623,0,54
16,55,0,0,0,0,931.6131996658312,1499.982456140351,0,55
16,56,0,2,1,1,1559.8214057507987,1641.223642172524,0,56
16,57,0,3,2,1,1693.8772766695577,1614.490459670425,0,57
16,58,0,2,2,0,957.5417391304347,1590.896231884058,0,58
16,59,0,0,0,0,1261.0229885057472,1630.4750957854405,0,59
16,60,0,0,0,0,1131.2719298245613,1644.9122807017543,0,60
16,61,0,0,0,0,619.468253968254,1657.6746031746031,0,61
16,62,0,2,2,1,825.4008635004982,1772.7871139156427,0,62
16,63,0,3,1,0,697.4745575221239,1800.55604719764,0,63
16,64,0,4,1,1,1103.1290422885572,1826.3152985074628,0,64
16,65,0,0,0,0,1062.6677631578948,1740.6875,0,65
