ImageNumber,ObjectNumber,Children_NonOverlappingWorms_Adult_Count,Children_NonOverlappingWorms_L1_Count,Children_NonOverlappingWorms_L2L3_Count,Children_NonOverlappingWorms_L4_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
3,1,0,0,0,0,1287.2767857142858,194.64285714285714,0,1
3,2,0,1,0,0,1082.4328358208954,267.636815920398,0,2
3,3,0,0,0,0,591.675,313.4472222222222,0,3
3,4,0,0,0,0,1152.0056022408965,303.375350140056,0,4
3,5,0,1,0,0,966.5443349753695,375.8226600985222,0,5
3,6,0,0,0,0,583.351724137931,411.2896551724138,0,6
3,7,0,0,0,0,1704.1978021978023,436.94505494505495,0,7
3,8,0,0,0,0,678.7254901960785,446.8235294117647,0,8
3,9,0,1,0,0,1451.7309417040358,537.5695067264573,0,9
3,10,0,0,0,0,544.5065789473684,540.3223684210526,0,10
3,11,0,0,0,0,934.295652173913,562.7652173913043,0,11
3,12,0,0,0,0,419.7225806451613,570.5612903225806,0,12
3,13,0,0,0,0,827.7745098039215,587.0882352941177,0,13
3,14,0,0,0,0,893.6915887850467,596.607476635514,0,14
3,15,0,1,0,0,1154.4637436762225,638.5075885328837,0,15
3,16,0,0,0,0,1489.6754966887418,622.9536423841059,0,16
3,17,0,1,0,0,1314.8831168831168,653.2705627705627,0,17
3,18,0,0,0,0,448.84615384615387,658.2136752136752,0,18
3,19,0,0,0,0,1533.1632653061224,703.1020408163265,0,19
3,20,0,1,0,0,577.884430176565,751.4060995184591,0,20
3,21,0,0,0,0,649.4742268041238,726.2216494845361,0,21
3,22,0,1,0,0,895.6248012718601,777.0635930047695,0,22
3,23,0,0,0,0,365.0,740.8741258741259,0,23
3,24,0,0,0,0,187.57236842105263,750.2697368421053,0,24
3,25,0,1,0,0,1416.4658634538152,757.6265060240963,0,25
3,26,0,0,0,0,1106.84,764.3163636363637,0,26
3,27,0,1,0,0,1543.6994047619048,814.4642857142857,0,27
3,28,0,0,0,0,1607.8293118856122,810.3404825737265,0,28
3,29,0,1,0,0,1371.3711151736745,839.2175502742231,0,29
3,30,0,0,0,0,1467.7788461538462,829.1033653846154,0,30
3,31,0,1,0,0,605.4128,863.7424,0,31
3,32,0,0,0,0,1007.97,849.61,0,32
3,33,0,0,0,0,1079.9754098360656,854.4508196721312,0,33
3,34,0,1,0,0,1526.9443099273608,880.6101694915254,0,34
3,35,0,0,0,0,198.56944444444446,866.2037037037037,0,35
3,36,0,1,0,0,335.39179104477614,905.8078358208955,0,36
3,37,0,1,0,0,715.0346907993967,921.5641025641025,0,37
3,38,0,0,0,0,611.8440677966101,934.3101694915255,0,38
3,39,0,1,0,0,1290.7283950617284,934.9711934156379,0,39
3,40,0,1,0,0,1731.6029411764705,952.5588235294117,0,40
3,41,0,1,0,0,269.0087912087912,991.0307692307692,0,41
3,42,0,1,0,0,113.77701149425287,990.0758620689655,0,42
3,43,0,1,0,0,1065.858168761221,1005.5960502692998,0,43
3,44,0,0,0,0,1107.22695035461,989.0567375886525,0,44
3,45,0,0,0,0,1521.3092783505156,988.340206185567,0,45
3,46,0,0,0,0,1729.3461538461538,1011.9711538461538,0,46
3,47,0,0,0,0,753.9225352112676,1021.4929577464789,0,47
3,48,0,1,0,0,254.27255985267035,1046.987108655617,0,48
3,49,0,1,0,0,1493.7425149700598,1051.6007984031937,0,49
3,50,0,1,0,0,890.9705882352941,1060.1687306501549,0,50
3,51,0,0,0,0,956.2710280373832,1064.1214953271028,0,51
3,52,0,0,0,0,485.12111801242236,1082.7732919254659,0,52
3,53,0,0,0,0,388.3949044585987,1074.4713375796177,0,53
3,54,0,0,0,0,1365.9247311827958,1079.215053763441,0,54
3,55,0,0,0,0,898.4269005847954,1083.8070175438597,0,55
3,56,0,0,0,0,1867.4878048780488,1096.0975609756097,0,56
3,57,0,0,0,0,543.977973568282,1139.8516886930984,0,57
3,58,0,0,0,0,870.6260869565217,1135.0608695652174,0,58
3,59,0,0,0,0,920.9368421052632,1130.0842105263157,0,59
3,60,0,1,0,0,739.6586715867159,1220.3579335793358,0,60
3,61,0,0,0,0,507.80254777070064,1202.748407643312,0,61
3,62,0,0,0,0,904.5769230769231,1220.5576923076924,0,62
3,63,0,0,0,0,710.6551724137931,1263.5862068965516,0,63
3,64,0,0,0,0,1866.9183673469388,1280.642857142857,0,64
3,65,0,0,0,0,599.0316455696203,1288.5253164556962,0,65
