ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_RawBF,Intensity_IntegratedIntensity_RawBF,Intensity_LowerQuartileIntensity_RawBF,Intensity_MADIntensity_RawBF,Intensity_MassDisplacement_RawBF,Intensity_MaxIntensityEdge_RawBF,Intensity_MaxIntensity_RawBF,Intensity_MeanIntensityEdge_RawBF,Intensity_MeanIntensity_RawBF,Intensity_MedianIntensity_RawBF,Intensity_MinIntensityEdge_RawBF,Intensity_MinIntensity_RawBF,Intensity_StdIntensityEdge_RawBF,Intensity_StdIntensity_RawBF,Intensity_UpperQuartileIntensity_RawBF,Location_CenterMassIntensity_X_RawBF,Location_CenterMassIntensity_Y_RawBF,Location_CenterMassIntensity_Z_RawBF,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_RawBF,Location_MaxIntensity_Y_RawBF,Location_MaxIntensity_Z_RawBF,Number_Object_Number,Parent_WormObjects,Worm_Angle_1,Worm_Angle_10,Worm_Angle_11,Worm_Angle_12,Worm_Angle_13,Worm_Angle_14,Worm_Angle_15,Worm_Angle_16,Worm_Angle_17,Worm_Angle_18,Worm_Angle_19,Worm_Angle_2,Worm_Angle_3,Worm_Angle_4,Worm_Angle_5,Worm_Angle_6,Worm_Angle_7,Worm_Angle_8,Worm_Angle_9,Worm_ControlPointX_1,Worm_ControlPointX_10,Worm_ControlPointX_11,Worm_ControlPointX_12,Worm_ControlPointX_13,Worm_ControlPointX_14,Worm_ControlPointX_15,Worm_ControlPointX_16,Worm_ControlPointX_17,Worm_ControlPointX_18,Worm_ControlPointX_19,Worm_ControlPointX_2,Worm_ControlPointX_20,Worm_ControlPointX_21,Worm_ControlPointX_3,Worm_ControlPointX_4,Worm_ControlPointX_5,Worm_ControlPointX_6,Worm_ControlPointX_7,Worm_ControlPointX_8,Worm_ControlPointX_9,Worm_ControlPointY_1,Worm_ControlPointY_10,Worm_ControlPointY_11,Worm_ControlPointY_12,Worm_ControlPointY_13,Worm_ControlPointY_14,Worm_ControlPointY_15,Worm_ControlPointY_16,Worm_ControlPointY_17,Worm_ControlPointY_18,Worm_ControlPointY_19,Worm_ControlPointY_2,Worm_ControlPointY_20,Worm_ControlPointY_21,Worm_ControlPointY_3,Worm_ControlPointY_4,Worm_ControlPointY_5,Worm_ControlPointY_6,Worm_ControlPointY_7,Worm_ControlPointY_8,Worm_ControlPointY_9,Worm_Length
5,1,829,1900,1074,680,1054,585,1064.6610373944511,630.9806996381183,4.105666262314731,0.9926355787106905,32.48869930584249,1,0.4363157894736842,0.2435658273491062,98.06674581811687,94.89467845985885,5.830951894845301,2.688766251883364,2.8284271247461903,12.303657992645928,11.879687508500968,0.14409294947612356,206.81118318204307,0.8441955193482689,5.81338220089674,21.72886257059872,0.021560998633503914,0.003372243605554104,0.7012317282222384,0.034088656306266785,0.034088656306266785,0.030758635983580633,0.02621093193075841,0.027649348601698875,0.02392614632844925,0.015152208507061005,0.0016857561530540005,0.004879539478085995,0.030498970299959183,1064.7052523121504,631.6805360316549,0.0,1064.6610373944511,630.9806996381183,1064.0,648.0,0.0,1,17,0.22873875249656783,-0.06502400511877582,-0.029614289104563207,0.24735784808933747,0.0,-0.03892206242502261,-0.16401865427816298,0.4142333164697243,-0.2112925997665387,0.0,0.0,-0.0916022543642303,0.14437953699333006,-0.01604912567865191,-0.12612863887167336,0.17596915685057124,-0.08656867492934572,-0.0871996036929008,0.14577264959344083,1055.0,1065.3853553390593,1066.0,1067.0288582233138,1068.0,1068.0,1068.0,1068.1945436482629,1069.0,1068.0,1068.0,1057.0,1068.0,1068.0,1058.0,1059.404594154602,1060.1656854249493,1061.0,1062.3949747468305,1063.0,1064.0,586.0,627.3853553390593,631.3786796564403,636.0288582233138,639.8745166004061,644.9508621971352,649.198780669118,654.194543648263,658.1088311754569,662.7709632098129,667.8473088065418,590.2479184719829,672.9236544032709,678.0,594.9100505063388,599.4045941546018,604.1656854249493,608.8964466094067,613.3949747468306,618.2207106781186,622.8828427124746,101.52691193458115
5,2,896,4752,1333,847,1279,759,1306.2466517857142,802.5513392857143,4.339446993787988,0.9936892741984644,33.77606596515802,1,0.18855218855218855,0.23044410991343406,104.35916355562743,100.84641788382967,5.656854249492381,2.6837602346257845,2.8284271247461903,12.527508193510053,11.705742896516341,-0.52496630787309,221.04267658086917,0.8421052631578947,5.73075458034873,25.040375493466854,0.02391088753938675,0.0034485403448343277,0.6733296566881725,0.03520256280899048,0.035584039986133575,0.03201538871703201,0.027946847648958544,0.029159991070628166,0.026367589831352234,0.016342412680387497,0.0018705835480364438,0.0047159549686544375,0.0320439450442791,1305.7999708782029,803.0551735773626,0.0,1306.2466517857142,802.5513392857143,1286.0,828.0,0.0,2,29,0.0759024264047996,0.11373631715412591,-0.1090138447750375,0.1121678518182394,-0.07122681872499736,0.11056935178365634,0.0,1.3322676295501878e-14,-2.708944180085382e-14,-0.15151038487683266,0.15151038487684643,0.0688697735796393,-0.06017297046840486,-0.093503932650425,-0.13838221894112568,0.14728692207552774,-0.06818635675625284,-0.10182104186246477,0.1652849262396181,1331.0,1310.413435103131,1308.0,1305.1700812219235,1302.8448100513897,1300.0,1297.4871609291354,1294.454782977415,1291.4224050256948,1288.3900270739746,1285.3576491222543,1328.6747288294662,1283.0323779517203,1280.0,1326.0,1323.0,1320.2847017554918,1318.0,1316.3412661956106,1314.0159950250768,1312.0,760.0,799.1731297937383,803.713679490806,807.8299187780765,812.1551899486103,816.2652610685134,820.5128390708644,824.5452170225848,828.5775949743052,832.6099729260254,836.6423508777459,764.3252711705338,840.9676220482796,845.0,768.5057922392626,772.5515815777075,776.7152982445082,781.0573738169701,785.6587338043894,789.9840049749231,794.4373825194236,105.76860051128115
5,3,931,5727,708,1093,639,1010,669.1482277121374,1048.986036519871,4.460260572290571,0.9930048510379719,34.42943531556155,1,0.16256329666492056,0.22420214778762332,110.50163549522162,105.26157893552613,5.656854249492381,2.6683447849766373,2.8284271247461903,13.646444364265083,13.047321602910916,-0.742479855213014,228.43354954612926,0.7836700336700336,5.431387830525637,24.77489902358502,0.02209506370127201,0.0031509893015027046,0.3250066691566062,0.03439383581280708,0.03439383581280708,0.031036501888717923,0.02661106232393665,0.028480964712798595,0.026016632094979286,0.015381094068288803,0.0012309492774342924,0.0048674101989137665,0.03078126162290573,669.357811503618,1048.7376336830416,0.0,669.1482277121374,1048.986036519871,691.0,1021.0,0.0,3,43,0.2826755872923017,0.0,0.0,-0.1361389608531547,0.1361389608531547,-0.1361389608531285,-0.14653662643916787,-1.9984014443252818e-14,-0.1130491464317136,0.018369708435580057,-1.7985612998927536e-14,2.930988785010413e-14,0.0,0.1361389608530965,-0.13222407589547025,0.12794460074409875,-0.12663683685616922,-0.01104690498851335,0.005824256142942907,706.0,672.5286796564403,668.6715728752538,664.8144660940673,660.9573593128807,657.8073593128807,653.9502525316942,650.8002525316942,648.3573593128807,645.9144660940673,644.0,703.5571067811866,642.0,640.0,699.7,695.8428932188135,691.9857864376269,687.835786437627,683.9698484809836,679.8286796564404,675.9597979746447,1011.0,1044.4713203435597,1048.3284271247462,1052.1855339059327,1056.0426406871193,1060.1926406871194,1064.049747468306,1068.1997474683058,1072.6426406871192,1077.0855339059326,1081.747308806542,1015.4428932188134,1086.3736544032708,1091.0,1019.3000000000001,1023.1571067811865,1027.014213562373,1030.164213562373,1034.0,1037.1713203435595,1041.0,109.09545442950488
5,4,852,1746,486,1074,389,1056,435.7969483568075,1063.06220657277,4.118298336276786,0.9928417279654065,32.9363035587535,1,0.4879725085910653,0.24281873685335437,100.42156398699301,96.62815324738438,6.0,2.7113517845549326,2.8284271247461903,12.36041194271056,11.994095001353674,-1.468228301431446,209.98275605729688,0.8216007714561234,5.087357928976417,19.501289501786232,0.019714657217264175,0.002532998099923134,0.7153972037498709,0.029144732281565666,0.029144732281565666,0.026359367507649827,0.02288883744341107,0.0240177009254694,0.02085908316075802,0.01416037231683731,0.0012865687957898297,0.0036506318803716437,0.025986114516854286,436.51037425384936,1063.0091344655655,0.0,435.7969483568075,1063.06220657277,469.0,1065.0,0.0,4,45,0.21132151315223346,0.0,-0.2113215131522308,0.2113215131522308,-0.21132151315222858,-2.220446049250313e-15,0.0,-0.07795653973193284,-0.07125781505458662,0.010864377293961613,0.0746119107940797,-0.4226430263044616,0.42264302630445716,-0.42264302630445716,0.21132151315222858,-0.1273727328191563,0.08551772528481916,0.00021604410407238817,0.04163896343026474,484.0,441.2183000047077,436.14261167894057,431.89535047791964,427.23387571452565,422.1581873887585,417.49671262536447,412.8352378619705,408.1737630985765,403.65513577454374,399.2650271341615,478.92431167423285,394.59164101453985,390.0,474.2628369108389,469.6013621474449,464.93988738405085,460.2784126206568,455.2027242948897,450.38272121403463,446.20788114206846,1061.0,1062.0,1062.0,1062.0,1063.0,1063.0,1064.0,1065.0,1066.0,1067.3448642254561,1069.0,1061.0,1070.7041794927302,1072.0,1060.0,1061.0,1060.0,1061.0,1061.0,1061.6172787859653,1061.7921188579317,101.51376651534217
5,5,839,1536,810,1327,714,1311,761.2920143027413,1318.539928486293,4.079744709969827,0.9931040385370821,32.684063058818154,1,0.5462239583333334,0.2451133762257874,99.33161018779649,95.00526301210897,6.0,2.6937885057591098,2.8284271247461903,12.246350987021042,11.64527833267755,1.4983535645899406,207.39696961967,0.8241650294695482,5.952697057276964,22.666285305283964,0.02284657023847103,0.00311284139752388,0.09617717061649594,0.03454642742872238,0.03454642742872238,0.03132998451198402,0.027015834690445724,0.02851911261677742,0.025726711377501488,0.015533684752881527,0.0014437738959031112,0.004732150524971527,0.031082628294825554,761.196532976336,1318.5514768392352,0.0,761.2920143027413,1318.539928486293,797.0,1318.0,0.0,5,59,0.0,0.05692556504115531,-0.21339782269779395,0.12048914207623795,-0.016507375092441823,-0.10398176698379658,-0.12981814627469213,0.058960764112978126,-0.11750692840259358,0.15766977716758168,-0.18270328930107826,0.4267956453956039,-0.42679564539559856,0.28388706330959934,0.06632722983665484,0.07658135224934881,0.0,-0.1615900821570211,0.10466451711585556,808.0,765.7447115062787,761.0242336248182,756.4094996997744,752.208979337104,747.420194960557,743.39372504939,738.3647775619734,733.4153755277184,728.4299882127576,723.8693650540475,803.3852660749565,719.6147339250435,715.0,798.7705321499129,794.1557982248693,789.5410642998256,784.6550144896275,779.8973828873654,775.2826489623219,770.6679150372784,1320.0,1318.7447115062787,1318.0,1317.0,1317.0,1316.420194960557,1316.0,1316.0,1316.6461561180704,1317.0,1317.8693650540474,1321.0,1318.0,1319.0,1322.0,1321.0,1322.0,1321.6550144896275,1321.0,1320.0,1319.0,100.57894974833333
5,6,911,4230,734,1369,640,1324,686.8254665203074,1347.3161361141604,4.354801602317404,0.9943713287702745,34.05761625912379,1,0.2153664302600473,0.2296315863087427,106.44007674689759,101.6366075781753,5.656854249492381,2.681247017681887,2.8284271247461903,11.074495662862494,11.277455737149472,-1.1285560171941587,223.27922061357856,0.9028741328047571,5.657618090510368,23.95104915369302,0.022980086505413055,0.0032349135726690292,0.0918979895184205,0.032654307782649994,0.032730601727962494,0.0304173015618837,0.026290943088576314,0.02725261263549328,0.026062410324811935,0.01509117241948843,0.0011208134766360611,0.004357372691846908,0.030155641958117485,686.8257451357333,1347.2242385469947,0.0,686.8254665203074,1347.3161361141604,706.0,1334.0,0.0,6,61,2.930988785010413e-14,0.04096092086792691,0.0,0.0,0.02703533777620093,-0.08951240305400532,-0.022243677665066297,0.23183328653785207,-0.14711254359498138,0.21523557201090382,0.0,0.0373454028593625,-0.07439670179582025,0.037051298936457755,-2.930988785010413e-14,0.15351096533104736,-0.27600504274382054,0.24824699150662877,-0.0819930920189118,732.0,692.1884974218392,687.713679490806,683.1607833711747,678.6078872515434,674.0549911319121,669.1458038425342,664.7121422902959,660.3211856948128,655.4871154836402,650.9342193640089,727.6090434045169,645.9671096820044,641.0,723.2180868090339,718.7555252034791,714.4361736180679,710.0452170225849,705.6542604271018,700.9704106128053,696.8194717300687,1325.0,1345.8115025781608,1348.0,1350.0,1352.0,1354.0,1356.0,1358.287857709704,1360.6788143051872,1362.0,1364.0,1327.3909565954832,1365.0,1366.0,1329.7819131909662,1332.0,1334.5638263819321,1336.954782977415,1339.3457395728983,1341.0295893871946,1344.0,107.62646488755024
5,7,897,4840,901,1456,846,1368,871.2608695652174,1410.448160535117,4.41340343984887,0.9932631786549457,33.79490896018868,1,0.1853305785123967,0.22658250341923045,104.67226913425054,101.35580891098448,5.656854249492381,2.6701527689523097,2.8284271247461903,12.970682218083738,12.129460271993501,-0.4977750242648288,223.04267658086914,0.8236914600550964,5.794277897104621,24.455741308629513,0.02258716756477952,0.0033340957015752792,1.0428501581404896,0.03527886047959328,0.03527886047959328,0.03201258506687636,0.027263925650646056,0.028915846720337868,0.02719157747924328,0.01571679301559925,0.0015356250014568575,0.005239748380402308,0.0316472128033638,871.7178167907712,1409.5107515073216,0.0,871.2608695652174,1410.448160535117,887.0,1376.0,0.0,7,63,0.1395514390458934,0.20597229903221947,-0.3597757083777344,0.18070902097697683,-0.05197957461228797,0.10382102305790664,0.05052724080627913,0.12513228162872814,-0.12445683779890881,0.09972501872197981,0.024731819076947215,-0.1395514390458934,2.708944180085382e-14,-1.8207657603852567e-14,-8.881784197001252e-15,-0.02581790301288356,-0.09751345770436748,-0.18210321512731853,0.05102799333249064,899.0,872.8776388924318,871.0,868.1726136392624,867.0,865.0,863.2363961030679,861.0,858.5313708498984,855.4717514421272,853.0,895.9403805922287,850.0596194077713,847.0,892.1736544032709,889.1140349954997,886.0544155877284,882.9947961799572,879.935176772186,877.0,874.5230447378299,1369.0,1406.1223611075682,1410.6715728752538,1414.8273863607376,1419.6686291501014,1424.1671572875252,1428.763603896932,1433.164213562373,1437.4686291501016,1441.5282485578728,1445.8313708498986,1373.0596194077714,1449.9403805922288,1454.0,1376.826345596729,1380.8859650045003,1384.9455844122715,1389.0052038200427,1393.064823227814,1397.1759884629823,1401.4769552621701,106.53910524340085
5,8,884,1545,1249,1511,1234,1408,1240.314479638009,1458.4683257918552,4.379504911928162,0.9939320418227247,33.549124542167775,1,0.572168284789644,0.22833631200558024,105.84084693752867,102.07840124139877,6.0,2.6836528140080063,2.8284271247461903,12.305991771503432,11.64205835990031,-0.04405851794202512,220.5685424949238,0.8261682242990654,6.449088318273425,23.959258548915386,0.022781720384955406,0.0030975807458162308,0.7781626002734836,0.035568781197071075,0.035568781197071075,0.03161317803075209,0.027103233652619216,0.028900587931275368,0.02670328877866268,0.015259021893143654,0.0014577202704617372,0.005076339658950015,0.0312504768371582,1240.3511772623085,1457.6910289908615,0.0,1240.314479638009,1458.4683257918552,1237.0,1431.0,0.0,8,66,0.212585560638467,0.2359849122662896,0.11879904389226281,-0.17001007638317156,0.0,-0.035562287235436196,0.06669728229766525,-0.22235489214122905,0.191219897079,0.0,-0.191219897079,-0.00953088004598679,-0.011834783513479996,0.0353806681126847,-0.22660056519168492,0.19121989707900844,-0.06274518015822506,-0.09206330600062684,-0.22118529069553738,1245.0,1239.175735931288,1240.0,1239.761522368915,1239.0,1239.0,1239.0,1239.1715728752538,1239.0,1240.0,1240.0,1245.0,1240.0,1241.0,1244.0585786437628,1243.0,1242.0,1241.0,1241.0,1240.0,1239.351471862576,1409.0,1454.1757359312883,1458.585786437627,1463.238477631085,1467.6745166004062,1473.2544155877285,1478.0058874503045,1482.8284271247462,1488.337258300203,1493.5029437251524,1498.2544155877285,1414.5798989873224,1503.8343145750507,1509.0,1418.9414213562372,1424.0828427124745,1429.2485281374238,1433.585786437627,1439.1656854249493,1444.3313708498983,1449.351471862576,111.59797974644661
5,9,863,4368,568,1566,490,1510,523.0509849362688,1530.782155272306,4.194463604127673,0.9828540035972202,33.14823867276277,1,0.19757326007326007,0.23840950700249813,98.8708359099052,93.47726996441435,5.385164807134504,2.664258358403802,2.8284271247461903,19.856949445451736,18.230347174835217,-1.0033256020016668,213.27922061357856,0.6276363636363637,4.209033356979489,17.9759366158396,0.017807278782129288,0.0024948492646217346,1.377640631007066,0.026626992970705032,0.02677958272397518,0.02391496225556528,0.02082959051661599,0.021599145606160164,0.01902800053358078,0.01333638560026884,0.001544736813273151,0.0032073574667721813,0.023441672325134277,524.2381276298852,1530.083166049789,0.0,523.0509849362688,1530.782155272306,548.0,1514.0,0.0,9,71,0.0,-0.17240544352398857,-0.17871583008092484,0.0,0.1448439070370373,-0.2896878140740604,0.11885088804201382,-0.24865306763693784,0.072127248710955,-0.1486024356839013,-3.9968028886505635e-14,0.1706594426256025,-0.05994040184588778,0.062055805646875406,0.052997106805773964,-0.13358836337136104,0.043173413294118834,-0.1353570031551219,0.0,566.0,525.533957441304,521.221825406948,517.2290367901871,513.5941125496954,509.9591883092037,506.0313708498985,503.1035533905933,500.0,497.662132034356,495.0,561.687867965644,493.0,491.0,557.3757359312881,552.7520815280171,548.2384776310851,543.610912703474,538.884567106745,534.4047727214753,529.8460894756599,1511.0,1525.0,1527.0,1529.7709632098129,1533.4058874503046,1537.0408116907963,1539.9686291501014,1543.8964466094067,1547.1656854249493,1551.3378679656441,1555.375735931288,1513.0,1559.6878679656438,1564.0,1515.0,1516.2479184719828,1517.761522368915,1519.0,1520.0,1521.5952272785248,1523.0,102.811183182043
5,10,840,4752,1321,1593,1249,1527,1283.6666666666667,1559.9630952380953,3.997862126343115,0.9929074016303538,32.703535245865034,1,0.17676767676767677,0.25013368855586576,99.22104839347783,94.92101980067429,5.656854249492381,2.6790766314827366,2.8284271247461903,12.017975829256493,11.79641534999345,0.7650988942819068,205.42745289171938,0.8553971486761711,4.466987112537026,20.453788149170578,0.02079804614186287,0.002716105431318283,1.2412073114886555,0.0314335860311985,0.0314335860311985,0.028272070332512826,0.02434974779663164,0.02539101243019104,0.02218661829829216,0.01492332387715578,0.0016741850099640874,0.0039702082581482695,0.027542535215616226,1282.82349066791,1559.0522440838372,0.0,1283.6666666666667,1559.9630952380953,1261.0,1530.0,0.0,10,73,0.16532721001959505,-0.30720194294944825,0.12310494985850484,-0.13429549742079705,-0.016831565370833523,-0.14529555686588702,0.05146990106279925,-0.05102717656949063,0.008619117251155717,0.0,-0.16532721001959505,0.0,0.15306528049222323,0.0,0.15306528049219437,-0.023817578645402238,-0.10738145212262207,-0.02186624972417006,0.31839249051177343,1250.0,1280.7905839481066,1282.8245064563143,1286.2313448555285,1289.1852446915427,1292.6333807621234,1296.1152822103718,1299.9083502353024,1303.7161795191819,1307.484018913004,1311.2250482023983,1254.0339225082075,1314.9660774917925,1319.0,1257.7749517976017,1261.515981086996,1264.9641171575763,1268.4122532281572,1271.1532825175514,1274.0,1277.342447877526,1528.0,1556.7905839481066,1560.824506456314,1564.3084598073715,1568.1852446915427,1571.6333807621236,1575.0,1577.726680188242,1580.7729436153456,1583.484018913004,1586.2250482023983,1530.0339225082075,1588.9660774917925,1591.0,1532.7749517976017,1535.515981086996,1538.9641171575763,1542.4122532281572,1546.1532825175511,1549.8505343239995,1553.342447877526,97.52801591846062
