"Image_FileName_RawBF","Image_PathName_RawBF","Metadata_Date","Metadata_Experiment","Metadata_Plate","Metadata_Magnification","Metadata_Well","Image_PathName_wellmask_98.png","Image_FileName_wellmask_98.png"
"20191119-growth-p01-m2X_C04.TIF","/projects/b1059/projects/Joy/CellProfiler/projects/20191119_example/raw_images","20191119","growth","p01","m2X","C04","/projects/b1059/projects/Joy/CellProfiler/well_masks/","wellmask_98.png"
"20191119-growth-p05-m2X_C03.TIF","/projects/b1059/projects/Joy/CellProfiler/projects/20191119_example/raw_images","20191119","growth","p05","m2X","C03","/projects/b1059/projects/Joy/CellProfiler/well_masks/","wellmask_98.png"
"20191119-growth-p09-m2X_C06.TIF","/projects/b1059/projects/Joy/CellProfiler/projects/20191119_example/raw_images","20191119","growth","p09","m2X","C06","/projects/b1059/projects/Joy/CellProfiler/well_masks/","wellmask_98.png"
"20191119-growth-p11-m2X_C03.TIF","/projects/b1059/projects/Joy/CellProfiler/projects/20191119_example/raw_images","20191119","growth","p11","m2X","C03","/projects/b1059/projects/Joy/CellProfiler/well_masks/","wellmask_98.png"
"20191119-growth-p13-m2X_C08.TIF","/projects/b1059/projects/Joy/CellProfiler/projects/20191119_example/raw_images","20191119","growth","p13","m2X","C08","/projects/b1059/projects/Joy/CellProfiler/well_masks/","wellmask_98.png"
"20191119-growth-p22-m2X_C07.TIF","/projects/b1059/projects/Joy/CellProfiler/projects/20191119_example/raw_images","20191119","growth","p22","m2X","C07","/projects/b1059/projects/Joy/CellProfiler/well_masks/","wellmask_98.png"
"20191119-growth-p25-m2X_C04.TIF","/projects/b1059/projects/Joy/CellProfiler/projects/20191119_example/raw_images","20191119","growth","p25","m2X","C04","/projects/b1059/projects/Joy/CellProfiler/well_masks/","wellmask_98.png"
"20191119-growth-p28-m2X_C01.TIF","/projects/b1059/projects/Joy/CellProfiler/projects/20191119_example/raw_images","20191119","growth","p28","m2X","C01","/projects/b1059/projects/Joy/CellProfiler/well_masks/","wellmask_98.png"
"20191119-growth-p32-m2X_C05.TIF","/projects/b1059/projects/Joy/CellProfiler/projects/20191119_example/raw_images","20191119","growth","p32","m2X","C05","/projects/b1059/projects/Joy/CellProfiler/well_masks/","wellmask_98.png"
"20191119-growth-p35-m2X_C04.TIF","/projects/b1059/projects/Joy/CellProfiler/projects/20191119_example/raw_images","20191119","growth","p35","m2X","C04","/projects/b1059/projects/Joy/CellProfiler/well_masks/","wellmask_98.png"
"20191119-growth-p39-m2X_C09.TIF","/projects/b1059/projects/Joy/CellProfiler/projects/20191119_example/raw_images","20191119","growth","p39","m2X","C09","/projects/b1059/projects/Joy/CellProfiler/well_masks/","wellmask_98.png"
"20191119-growth-p41-m2X_C01.TIF","/projects/b1059/projects/Joy/CellProfiler/projects/20191119_example/raw_images","20191119","growth","p41","m2X","C01","/projects/b1059/projects/Joy/CellProfiler/well_masks/","wellmask_98.png"
"20191119-growth-p45-m2X_C11.TIF","/projects/b1059/projects/Joy/CellProfiler/projects/20191119_example/raw_images","20191119","growth","p45","m2X","C11","/projects/b1059/projects/Joy/CellProfiler/well_masks/","wellmask_98.png"
"20191119-growth-p46-m2X_C01.TIF","/projects/b1059/projects/Joy/CellProfiler/projects/20191119_example/raw_images","20191119","growth","p46","m2X","C01","/projects/b1059/projects/Joy/CellProfiler/well_masks/","wellmask_98.png"
"20191119-growth-p48-m2X_C03.TIF","/projects/b1059/projects/Joy/CellProfiler/projects/20191119_example/raw_images","20191119","growth","p48","m2X","C03","/projects/b1059/projects/Joy/CellProfiler/well_masks/","wellmask_98.png"
"20191119-growth-p50-m2X_C02.TIF","/projects/b1059/projects/Joy/CellProfiler/projects/20191119_example/raw_images","20191119","growth","p50","m2X","C02","/projects/b1059/projects/Joy/CellProfiler/well_masks/","wellmask_98.png"
"20191119-growth-p55-m2X_C05.TIF","/projects/b1059/projects/Joy/CellProfiler/projects/20191119_example/raw_images","20191119","growth","p55","m2X","C05","/projects/b1059/projects/Joy/CellProfiler/well_masks/","wellmask_98.png"
"20191119-growth-p57-m2X_C07.TIF","/projects/b1059/projects/Joy/CellProfiler/projects/20191119_example/raw_images","20191119","growth","p57","m2X","C07","/projects/b1059/projects/Joy/CellProfiler/well_masks/","wellmask_98.png"
"20191119-growth-p61-m2X_C02.TIF","/projects/b1059/projects/Joy/CellProfiler/projects/20191119_example/raw_images","20191119","growth","p61","m2X","C02","/projects/b1059/projects/Joy/CellProfiler/well_masks/","wellmask_98.png"
"20191119-growth-p63-m2X_C03.TIF","/projects/b1059/projects/Joy/CellProfiler/projects/20191119_example/raw_images","20191119","growth","p63","m2X","C03","/projects/b1059/projects/Joy/CellProfiler/well_masks/","wellmask_98.png"
